Content,Ply_name,MOS
bag,bag_geo_26_col_26.ply,82.4723447329788
bag,bag_geo_26_col_32.ply,81.5011617631872
bag,bag_geo_26_col_38.ply,85.4385357999222
bag,bag_geo_26_col_44.ply,71.0429646265918
bag,bag_geo_26_col_50.ply,41.9103802574037
bag,bag_geo_32_col_26.ply,83.4415686341938
bag,bag_geo_32_col_32.ply,86.6946725842642
bag,bag_geo_32_col_38.ply,80.0293344352133
bag,bag_geo_32_col_44.ply,67.4786630808148
bag,bag_geo_32_col_50.ply,47.4334132848138
bag,bag_geo_38_col_26.ply,83.6113667623873
bag,bag_geo_38_col_32.ply,80.3914416029074
bag,bag_geo_38_col_38.ply,76.2532702419914
bag,bag_geo_38_col_44.ply,69.134745827834
bag,bag_geo_38_col_50.ply,45.9038347256144
bag,bag_geo_44_col_26.ply,75.8551921705965
bag,bag_geo_44_col_32.ply,65.0850667447251
bag,bag_geo_44_col_38.ply,63.7252970193839
bag,bag_geo_44_col_44.ply,56.1250447965146
bag,bag_geo_44_col_50.ply,37.8973626929821
bag,bag_geo_50_col_26.ply,41.5970977830194
bag,bag_geo_50_col_32.ply,37.7775630717529
bag,bag_geo_50_col_38.ply,31.3035768598301
bag,bag_geo_50_col_44.ply,30.0810054324427
bag,bag_geo_50_col_50.ply,16.8357365004561
banana,banana_geo_26_col_26.ply,81.649960652509
banana,banana_geo_26_col_32.ply,79.6882066527613
banana,banana_geo_26_col_38.ply,64.9554792823482
banana,banana_geo_26_col_44.ply,64.5244976905113
banana,banana_geo_26_col_50.ply,56.0863973778605
banana,banana_geo_32_col_26.ply,76.9132580708139
banana,banana_geo_32_col_32.ply,75.703820665135
banana,banana_geo_32_col_38.ply,68.5323767714754
banana,banana_geo_32_col_44.ply,67.9780537361822
banana,banana_geo_32_col_50.ply,52.6842361805738
banana,banana_geo_38_col_26.ply,63.207586333376
banana,banana_geo_38_col_32.ply,57.9657958448315
banana,banana_geo_38_col_38.ply,54.8711650025599
banana,banana_geo_38_col_44.ply,50.0217170571608
banana,banana_geo_38_col_50.ply,41.7792373571032
banana,banana_geo_44_col_26.ply,42.0133808791516
banana,banana_geo_44_col_32.ply,38.2277229723426
banana,banana_geo_44_col_38.ply,40.1925612212863
banana,banana_geo_44_col_44.ply,36.0116356051438
banana,banana_geo_44_col_50.ply,35.1085425633015
banana,banana_geo_50_col_26.ply,24.8807974432507
banana,banana_geo_50_col_32.ply,24.3596920495446
banana,banana_geo_50_col_38.ply,23.6015132822698
banana,banana_geo_50_col_44.ply,22.5501794136694
banana,banana_geo_50_col_50.ply,21.0454872256355
biscuits,biscuits_geo_26_col_26.ply,87.8923684907921
biscuits,biscuits_geo_26_col_32.ply,81.6430452141255
biscuits,biscuits_geo_26_col_38.ply,75.3154710249261
biscuits,biscuits_geo_26_col_44.ply,70.6970505304824
biscuits,biscuits_geo_26_col_50.ply,47.4867761065685
biscuits,biscuits_geo_32_col_26.ply,85.1594534129397
biscuits,biscuits_geo_32_col_32.ply,83.5574140290293
biscuits,biscuits_geo_32_col_38.ply,76.2707571916321
biscuits,biscuits_geo_32_col_44.ply,63.7537949867307
biscuits,biscuits_geo_32_col_50.ply,47.7863712010635
biscuits,biscuits_geo_38_col_26.ply,79.5356816864173
biscuits,biscuits_geo_38_col_32.ply,83.4360588268497
biscuits,biscuits_geo_38_col_38.ply,77.0382203009983
biscuits,biscuits_geo_38_col_44.ply,67.7899989840408
biscuits,biscuits_geo_38_col_50.ply,50.8518218371507
biscuits,biscuits_geo_44_col_26.ply,73.0776411784288
biscuits,biscuits_geo_44_col_32.ply,64.5948469858521
biscuits,biscuits_geo_44_col_38.ply,58.4701670021258
biscuits,biscuits_geo_44_col_44.ply,56.952028111374
biscuits,biscuits_geo_44_col_50.ply,43.2095155036005
biscuits,biscuits_geo_50_col_26.ply,53.3353041395029
biscuits,biscuits_geo_50_col_32.ply,49.2948719615677
biscuits,biscuits_geo_50_col_38.ply,51.4989786845386
biscuits,biscuits_geo_50_col_44.ply,42.7319512429119
biscuits,biscuits_geo_50_col_50.ply,36.6391661965889
cake,cake_geo_26_col_26.ply,86.9359350491745
cake,cake_geo_26_col_32.ply,85.478638008414
cake,cake_geo_26_col_38.ply,81.694655902971
cake,cake_geo_26_col_44.ply,69.5639617403983
cake,cake_geo_26_col_50.ply,54.7460831111615
cake,cake_geo_32_col_26.ply,84.7184799067125
cake,cake_geo_32_col_32.ply,80.9823228475772
cake,cake_geo_32_col_38.ply,77.2012235286127
cake,cake_geo_32_col_44.ply,70.8288525218617
cake,cake_geo_32_col_50.ply,48.4505068678294
cake,cake_geo_38_col_26.ply,81.3322673838494
cake,cake_geo_38_col_32.ply,77.7277923267265
cake,cake_geo_38_col_38.ply,73.5255185638214
cake,cake_geo_38_col_44.ply,64.0224841065843
cake,cake_geo_38_col_50.ply,52.2350580461529
cake,cake_geo_44_col_26.ply,62.2839601931544
cake,cake_geo_44_col_32.ply,59.5632021598096
cake,cake_geo_44_col_38.ply,58.6246715142536
cake,cake_geo_44_col_44.ply,47.2806982462689
cake,cake_geo_44_col_50.ply,46.6311628313398
cake,cake_geo_50_col_26.ply,29.9131508477554
cake,cake_geo_50_col_32.ply,39.5743814023421
cake,cake_geo_50_col_38.ply,26.8825126156265
cake,cake_geo_50_col_44.ply,27.7111776794485
cake,cake_geo_50_col_50.ply,27.0513082355173
cauliflower,cauliflower_geo_26_col_26.ply,87.2062166819033
cauliflower,cauliflower_geo_26_col_32.ply,89.4706954358539
cauliflower,cauliflower_geo_26_col_38.ply,78.973711179037
cauliflower,cauliflower_geo_26_col_44.ply,58.2248810831345
cauliflower,cauliflower_geo_26_col_50.ply,41.7461201255633
cauliflower,cauliflower_geo_32_col_26.ply,86.6110597545741
cauliflower,cauliflower_geo_32_col_32.ply,85.0459210120589
cauliflower,cauliflower_geo_32_col_38.ply,81.6632171698608
cauliflower,cauliflower_geo_32_col_44.ply,65.3834144389473
cauliflower,cauliflower_geo_32_col_50.ply,44.4044131630086
cauliflower,cauliflower_geo_38_col_26.ply,81.9366342811793
cauliflower,cauliflower_geo_38_col_32.ply,75.5842457552613
cauliflower,cauliflower_geo_38_col_38.ply,70.5368654966761
cauliflower,cauliflower_geo_38_col_44.ply,63.4569326277367
cauliflower,cauliflower_geo_38_col_50.ply,40.8304993562527
cauliflower,cauliflower_geo_44_col_26.ply,54.7355913800956
cauliflower,cauliflower_geo_44_col_32.ply,55.733595052281
cauliflower,cauliflower_geo_44_col_38.ply,49.5214699202247
cauliflower,cauliflower_geo_44_col_44.ply,40.6655871607221
cauliflower,cauliflower_geo_44_col_50.ply,30.0882930549642
cauliflower,cauliflower_geo_50_col_26.ply,36.2962635192281
cauliflower,cauliflower_geo_50_col_32.ply,28.6501464472511
cauliflower,cauliflower_geo_50_col_38.ply,25.6895085113343
cauliflower,cauliflower_geo_50_col_44.ply,26.4533286907987
cauliflower,cauliflower_geo_50_col_50.ply,21.3149532042432
flowerpot,flowerpot_geo_26_col_26.ply,86.7946709044725
flowerpot,flowerpot_geo_26_col_32.ply,86.6608858733422
flowerpot,flowerpot_geo_26_col_38.ply,85.7233512963207
flowerpot,flowerpot_geo_26_col_44.ply,80.8012462826181
flowerpot,flowerpot_geo_26_col_50.ply,64.4738321317084
flowerpot,flowerpot_geo_32_col_26.ply,81.894469113561
flowerpot,flowerpot_geo_32_col_32.ply,80.8910336632008
flowerpot,flowerpot_geo_32_col_38.ply,72.6534056672074
flowerpot,flowerpot_geo_32_col_44.ply,76.0462940453093
